"region";"year";"gdp";"agriculture";"industry";"services";"gdp_change";"agri_change";"ind_change";"serv_change";"division"
"Piemonte";2022;142365.7;1653.5;37903.0;87949.7;0.0;0.0;0.0;0.0;"North"
"Valle D'Aosta";2022;5030.7;50.3;922.3;3540.9;0.0;0.0;0.0;0.0;"North"
"Liguria";2022;51227.4;461.9;9432.6;36148.4;0.0;0.0;0.0;0.0;"North"
"Lombardia";2022;441244.7;3340.2;105365.4;286205.3;0.0;0.0;0.0;0.0;"North"
"Trentino Alto Adige";2022;50957.9;1884.3;9945.2;33745.5;0.0;0.0;0.0;0.0;"North"
"Provincia Autonoma Bolzano";2022;28379.6;1086.4;5416.7;18872.6;0.0;0.0;0.0;0.0;"North"
"Provincia Autonoma Trento";2022;22578.3;797.9;4528.6;14872.9;0.0;0.0;0.0;0.0;"North"
"Veneto";2022;178192.2;3646.3;52061.4;103905.1;0.0;0.0;0.0;0.0;"North"
"Friuli-Venezia Giulia";2022;41154.0;654.9;11005.2;25253.1;0.0;0.0;0.0;0.0;"North"
"Emilia-Romagna";2022;175248.9;3608.9;51617.5;101758.8;0.0;0.0;0.0;0.0;"North"
"Toscana";2022;127166.9;2255.2;30169.9;81415.3;0.0;0.0;0.0;0.0;"North"
"Umbria";2022;23904.4;556.7;5375.9;15480.8;0.0;0.0;0.0;0.0;"North"
"Marche";2022;44972.8;662.4;12811.6;26801.0;0.0;0.0;0.0;0.0;"North"
"Lazio";2022;215787.6;2047.6;30913.5;160390.0;0.0;0.0;0.0;0.0;"North"
"Abruzzo";2022;35507.1;955.9;8562.7;22298.6;0.0;0.0;0.0;0.0;"South"
"Molise";2022;7054.1;337.9;1290.5;4699.4;0.0;0.0;0.0;0.0;"South"
"Campania";2022;118717.1;2698.7;20514.9;83349.7;0.0;0.0;0.0;0.0;"South"
"Puglia";2022;83708.8;2607.9;14705.8;57790.7;0.0;0.0;0.0;0.0;"South"
"Basilicata";2022;12993.5;640.2;3217.2;7769.0;0.0;0.0;0.0;0.0;"South"
"Calabria";2022;35311.7;1498.4;4037.9;26245.1;0.0;0.0;0.0;0.0;"South"
"Sicilia";2022;99358.9;3890.8;14702.1;70568.4;0.0;0.0;0.0;0.0;"South"
"Sardegna";2022;37921.3;1228.4;5012.6;27737.5;0.0;0.0;0.0;0.0;"South"
"Piemonte";2023;147079.6;1943.5;40236.5;89766.8;3.31112;17.53855;6.1565;2.06607;"North"
"Valle D'Aosta";2023;5487.7;70.4;1160.0;3706.3;9.08422;39.96024;25.77253;4.67113;"North"
"Liguria";2023;53964.4;464.7;10472.1;37830.5;5.34284;0.60619;11.02029;4.65332;"North"
"Lombardia";2023;460752.3;4233.0;111781.3;297244.4;4.42104;26.72894;6.08919;3.85706;"North"
"Trentino Alto Adige";2023;54045.0;2133.6;11549.4;34802.1;6.05814;13.23038;16.13039;3.13108;"North"
"Provincia Autonoma Bolzano";2023;30227.9;1238.1;6347.6;19535.5;6.51278;13.96355;17.18574;3.5125;"North"
"Provincia Autonoma Trento";2023;23817.1;895.5;5201.8;15266.7;5.48668;12.23211;14.86552;2.64777;"North"
"Veneto";2023;185818.3;3875.3;55049.2;107875.4;4.2797;6.28034;5.73899;3.82108;"North"
"Friuli-Venezia Giulia";2023;42471.7;563.3;11703.8;25876.0;3.20188;-13.98687;6.34791;2.46663;"North"
"Emilia-Romagna";2023;180657.1;3084.3;53929.1;105033.4;3.08601;-14.53629;4.47833;3.218;"North"
"Toscana";2023;130253.9;2307.7;30817.1;83693.2;2.42752;2.32795;2.14518;2.79788;"North"
"Umbria";2023;24682.5;553.3;5701.6;15904.2;3.25505;-0.61074;6.05852;2.735;"North"
"Marche";2023;46459.3;565.3;13365.7;27715.1;3.30533;-14.65882;4.32499;3.41069;"North"
"Lazio";2023;228831.2;2031.1;39223.7;164205.9;6.04465;-0.80582;26.88211;2.37914;"North"
"Abruzzo";2023;37216.3;870.6;9331.9;23218.0;4.81369;-8.92353;8.98315;4.12313;"South"
"Molise";2023;7360.1;397.2;1379.9;4838.3;4.3379;17.54957;6.92755;2.9557;"South"
"Campania";2023;123495.3;2880.4;22104.8;86157.2;4.02486;6.73287;7.74998;3.36834;"South"
"Puglia";2023;87046.0;2575.0;15881.5;59743.6;3.98668;-1.26155;7.9948;3.37926;"South"
"Basilicata";2023;14020.1;744.6;3898.7;7920.9;7.90087;16.3074;21.18302;1.95521;"South"
"Calabria";2023;36787.8;1647.2;4512.7;27030.3;4.1802;9.93059;11.75859;2.9918;"South"
"Sicilia";2023;104500.0;4145.4;16817.7;73050.5;5.17427;6.54364;14.38978;3.5173;"South"
"Sardegna";2023;39312.9;1353.3;5431.8;28530.0;3.66971;10.1677;8.36293;2.85714;"South"
