Region,Year,Wine
Veneto,2020,10826
Puglia,2020,9764
Emilia-Romagna,2020,6659
Sicilia,2020,4465
Abruzzo,2020,2887
Toscana,2020,2603
Piemonte,2020,2571
Friuli-Venezia Giulia,2020,1624
Lazio,2020,1450
Campania,2020,1403
Trentino-Alto Adige,2020,1133
Lombardia,2020,1476
Marche,2020,932
Umbria,2020,644
Molise,2020,402
Sardegna,2020,602
Calabria,2020,280
Liguria,2020,79
Basilicata,2020,91
Valle d'Aosta,2020,21
Veneto,2021,10927
Puglia,2021,9595
Emilia-Romagna,2021,5907
Sicilia,2021,6169
Abruzzo,2021,3087
Toscana,2021,2185
Piemonte,2021,2507
Friuli-Venezia Giulia,2021,2019
Lazio,2021,1489
Campania,2021,1451
Trentino-Alto Adige,2021,1126
Lombardia,2021,1370
Marche,2021,878
Umbria,2021,582
Molise,2021,512
Sardegna,2021,630
Calabria,2021,270
Liguria,2021,80
Basilicata,2021,86
Valle d'Aosta,2021,16
Veneto,2022,11870
Puglia,2022,10846
Emilia-Romagna,2022,6139
Sicilia,2022,5881
Abruzzo,2022,3129
Toscana,2022,2439
Piemonte,2022,2413
Friuli-Venezia Giulia,2022,2209
Lazio,2022,1429
Campania,2022,1476
Trentino-Alto Adige,2022,1325
Lombardia,2022,1210
Marche,2022,1398
Umbria,2022,597
Molise,2022,513
Sardegna,2022,684
Calabria,2022,270
Liguria,2022,73
Basilicata,2022,86
Valle d'Aosta,2022,19
Veneto,2023,10624
Puglia,2023,6859
Emilia-Romagna,2023,6215
Sicilia,2023,4802
Abruzzo,2023,1787
Toscana,2023,1799
Piemonte,2023,1949
Friuli-Venezia Giulia,2023,1711
Lazio,2023,982
Campania,2023,819
Trentino-Alto Adige,2023,1226
Lombardia,2023,1263
Marche,2023,578
Umbria,2023,360
Molise,2023,527
Sardegna,2023,542
Calabria,2023,268
Liguria,2023,84
Basilicata,2023,86
Valle d'Aosta,2023,19
Veneto,2024,10687
Puglia,2024,8055
Emilia-Romagna,2024,6904
Sicilia,2024,4230
Abruzzo,2024,3181
Toscana,2024,2722
Piemonte,2024,2173
Friuli-Venezia Giulia,2024,2022
Lazio,2024,1470
Campania,2024,1418
Trentino-Alto Adige,2024,1121
Lombardia,2024,1063
Marche,2024,867
Umbria,2024,650
Molise,2024,519
Sardegna,2024,459
Calabria,2024,268
Liguria,2024,88
Basilicata,2024,86
Valle d'Aosta,2024,11
